State,DivisionId,DivisionAb,DivisionName,PartyAb,CandidateSurname,Votes,election_year
ACT,318,BEAN,Bean,BTA,BTA_BEAN,4214,2019
ACT,318,BEAN,Bean,GRN,GRN_BEAN,12365,2019
ACT,318,BEAN,Bean,LP,LP_BEAN,33750,2019
ACT,318,BEAN,Bean,ALP,ALP_BEAN,40177,2019
ACT,318,BEAN,Bean,NA,Informal,2786,2019
ACT,101,CANB,Canberra,BTA,BTA_CANB,3440,2019
ACT,101,CANB,Canberra,LP,LP_CANB,26757,2019
ACT,101,CANB,Canberra,NA,Informal,1909,2019
ACT,101,CANB,Canberra,ALP,ALP_CANB,34643,2019
ACT,101,CANB,Canberra,GRN,GRN_CANB,15280,2019
ACT,101,CANB,Canberra,IND,WOODMAN,1494,2019
ACT,102,FENN,Fenner,IND,WOODMAN,3213,2019
ACT,102,FENN,Fenner,ALP,ALP_FENN,37067,2019
ACT,102,FENN,Fenner,LP,LP_FENN,26839,2019
ACT,102,FENN,Fenner,GRN,GRN_FENN,10485,2019
ACT,102,FENN,Fenner,BTA,BTA_FENN,3018,2019
ACT,102,FENN,Fenner,NA,Informal,2490,2019
NSW,103,BANK,Banks,LP,COLEMAN,39423,2019
NSW,103,BANK,Banks,ALP,GAMBIAN,35890,2019
NSW,103,BANK,Banks,AJP,BARNES,1555,2019
NSW,103,BANK,Banks,FFP,WU,1621,2019
NSW,103,BANK,Banks,IND,SPANSWICK,1341,2019
NSW,103,BANK,Banks,NA,Informal,6656,2019
NSW,103,BANK,Banks,CDP,BONDAR,4777,2019
NSW,103,BANK,Banks,GRN,CLARK,5225,2019
NSW,104,BART,Barton,NA,Informal,7991,2019
NSW,104,BART,Barton,IND,TORKEL,2236,2019
NSW,104,BART,Barton,CDP,SUSILO,3714,2019
NSW,104,BART,Barton,GRN,HEBER,7741,2019
NSW,104,BART,Barton,LP,VARVARIS,31038,2019
NSW,104,BART,Barton,ALP,BURNEY,41878,2019
NSW,104,BART,Barton,SOL,TSOUKALAS,1095,2019
NSW,105,BENN,Bennelong,CDP,WORSLEY,5903,2019
NSW,105,BENN,Bennelong,GRN,ALICK,8424,2019
NSW,105,BENN,Bennelong,LP,ALEXANDER,46497,2019
NSW,105,BENN,Bennelong,ALP,HOWISON,26270,2019
NSW,105,BENN,Bennelong,NA,Informal,4942,2019
NSW,105,BENN,Bennelong,IND,MULCARE,2885,2019
NSW,105,BENN,Bennelong,ARTS,GORDON,992,2019
NSW,105,BENN,Bennelong,PIR,AUGUST,1260,2019
NSW,106,BERO,Berowra,NA,Informal,4082,2019
NSW,106,BERO,Berowra,IND,GALLAGHER,2859,2019
NSW,106,BERO,Berowra,IND,WOODWARD,826,2019
NSW,106,BERO,Berowra,GRN,HEYDE,10815,2019
NSW,106,BERO,Berowra,CDP,THEW,5213,2019
NSW,106,BERO,Berowra,LP,LEESER,53678,2019
NSW,106,BERO,Berowra,ALP,ANDREWS,18693,2019
NSW,106,BERO,Berowra,FUT,CLARKE,1933,2019
NSW,107,BLAX,Blaxland,NA,Informal,10429,2019
NSW,107,BLAX,Blaxland,SEP,ZABALA,980,2019
NSW,107,BLAX,Blaxland,CDP,NASR,4810,2019
NSW,107,BLAX,Blaxland,GRN,VIRAGO,3698,2019
NSW,107,BLAX,Blaxland,LP,FINDLAY,19825,2019
NSW,107,BLAX,Blaxland,ALP,CLARE,50572,2019
NSW,108,BRFD,Bradfield,NA,Informal,3446,2019
NSW,108,BRFD,Bradfield,IND,BERMAN,4248,2019
NSW,108,BRFD,Bradfield,CDP,VALE,3497,2019
NSW,108,BRFD,Bradfield,GRN,JONES,10936,2019
NSW,108,BRFD,Bradfield,LP,FLETCHER,57231,2019
NSW,108,BRFD,Bradfield,ALA,KELLY,1796,2019
NSW,108,BRFD,Bradfield,ALP,GOMPERTZ,15926,2019
NSW,109,CALA,Calare,NP,GEE,47717,2019
NSW,109,CALA,Calare,NA,Informal,5490,2019
NSW,109,CALA,Calare,IND,CRAIG,3836,2019
NSW,109,CALA,Calare,XEN,BLOOMFIELD,5412,2019
NSW,109,CALA,Calare,CDP,GESLING,2386,2019
NSW,109,CALA,Calare,GRN,SKY,7238,2019
NSW,109,CALA,Calare,ALP,JENNINGS,27132,2019
NSW,109,CALA,Calare,LDP,DAVIS,6557,2019
NSW,111,CHIF,Chifley,NA,Informal,7785,2019
NSW,111,CHIF,Chifley,IND,KHAN,2194,2019
NSW,111,CHIF,Chifley,CDP,GREEN,7820,2019
NSW,111,CHIF,Chifley,GRN,JAMES,3883,2019
NSW,111,CHIF,Chifley,LP,KUMAR,19394,2019
NSW,111,CHIF,Chifley,ALP,HUSIC,52278,2019
NSW,112,COOK,Cook,NA,Informal,4983,2019
NSW,112,COOK,Cook,IND,BRETT,3153,2019
NSW,112,COOK,Cook,CDP,CAPSIS,4430,2019
NSW,112,COOK,Cook,GRN,HUNT,6198,2019
NSW,112,COOK,Cook,LP,MORRISON,53321,2019
NSW,112,COOK,Cook,ALP,ATKINS,24283,2019
NSW,113,COWP,Cowper,NA,Informal,5613,2019
NSW,113,COWP,Cowper,CEC,GOUGH,726,2019
NSW,113,COWP,Cowper,CDP,LAWRENCE,3538,2019
NSW,113,COWP,Cowper,GRN,VERNON,6901,2019
NSW,113,COWP,Cowper,ALP,WOOD,14079,2019
NSW,113,COWP,Cowper,NP,HARTSUYKER,47559,2019
NSW,113,COWP,Cowper,IND,ARKAN,3457,2019
NSW,113,COWP,Cowper,IND,OAKESHOTT,27200,2019
NSW,114,CUNN,Cunningham,NA,Informal,4933,2019
NSW,114,CUNN,Cunningham,NCP,FLANAGAN,1582,2019
NSW,114,CUNN,Cunningham,GRN,BLAKEY,14200,2019
NSW,114,CUNN,Cunningham,LP,BLICAVS,28263,2019
NSW,114,CUNN,Cunningham,CDP,RYAN,3939,2019
NSW,114,CUNN,Cunningham,ALP,BIRD,46414,2019
NSW,114,CUNN,Cunningham,FUT,WATERS,2526,2019
NSW,115,DOBE,Dobell,NA,Informal,5956,2019
NSW,115,DOBE,Dobell,IND,BAKER,976,2019
NSW,115,DOBE,Dobell,IND,STEPHENSON,1176,2019
NSW,115,DOBE,Dobell,ON,EDWARDS,8326,2019
NSW,115,DOBE,Dobell,CDP,ERVIN,2549,2019
NSW,115,DOBE,Dobell,GRN,BOYD,5607,2019
NSW,115,DOBE,Dobell,LP,McNAMARA,36586,2019
NSW,115,DOBE,Dobell,ALP,McBRIDE,41454,2019
NSW,117,EMON,Eden-Monaro,NA,Informal,6399,2019
NSW,117,EMON,Eden-Monaro,IND,THALER,981,2019
NSW,117,EMON,Eden-Monaro,ADVP,FRIEND,1448,2019
NSW,117,EMON,Eden-Monaro,IND,GROSMAIRE,1683,2019
NSW,117,EMON,Eden-Monaro,CDP,BENNETT,1763,2019
NSW,117,EMON,Eden-Monaro,GRN,RYAN,7177,2019
NSW,117,EMON,Eden-Monaro,LP,HENDY,39049,2019
